ProgramNameEN,FiscalYear,AwardAmount
Fuel Cell Technology Program - Chair Project,2002,355000
Applied Research and Development Grants - Level 3,2013,349928
Canadian Forest Service Research Partnership,1997,344525
International Opportunity Fund,2003,341020
Engage Plus Grants Program                                                                          ,2013,340813
Chairs for Women in Science and Engineering - Project,2007,340000
Northern Research Chair Program,2008,339903
Canadian Graduate Scholarships Foreign Study Supplements,2010,337182
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2011,337153
Bilateral Exchange Program (H),1995,330289
Chairs in the Management of Technological Change,2001,327626
John C. Polanyi Award,2014,325000
Discovery Frontiers - Advancing Big Data Science in Genomics Research                               ,2013,324986
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2002,320825
Collaborative Special Project Grants,2000,320000
Chairs in the Management of Technological Change,2006,317333
Research Management Funds - Group,2002,311000
Chairs for Women in Science and Engineering - Project,2008,310000
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2012,308000
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2008,304318
Fuel Cell Technology Program,2002,301889
Parental Leave - Scholarships & Fellowships,2014,301331
Networks of Centres of Excellence - Letters of Intent,1999,300000
Chairs for Women in Science and Engineering - Project,2010,300000
College Special Initiatives                                                                         ,2015,292273
Department of National Defence / NSERC Research Partnership,2002,290000
Department of National Defence / NSERC Research Partnership,2007,287671
Subatomic Physics Envelope - Research Tools and Instruments,2015,285285
Parental Leave - Scholarships & Fellowships,2013,282037
Conference Grants (H),1995,281153
Fuel Cell Technology Program - Chair Project,2001,280000
Canadian Graduate Scholarships Foreign Study Supplements,2008,278040
Canadian Forest Service Research Partnership,2007,277650
Department of National Defence / NSERC Research Partnership,2006,275394
Networks of Centres of Excellence - Letters of Intent,1997,275000
College Special Initiatives                                                                         ,2016,274647
Strategic Grants - Individual (H),1998,273553
Department of National Defence / NSERC Research Partnership,2003,273460
Industrial Scholarship in Partnership with the FQRNT - Master's,2016,273010
Strategic Workshops Program,2010,272787
Discovery Grants Program - Leadership Support,2004,271000
Discovery Grants Program - Leadership Support,2006,271000
Discovery Grants Program - Leadership Support,2005,271000
Discovery Grants Program - Leadership Support,2003,271000
Chairs for Women in Science and Engineering - Project,2006,270000
Parental Leave - Research Grants,2012,268937
Presidential Fund,2004,267879
Presidential Fund,2003,264907
Technology Partnerships Program,2005,258000
G8 Initiative Research Councils on Multilateral Research Funding,2011,255544
G8 Initiative Research Councils on Multilateral Research Funding,2010,255267
Interaction Grants Program                                                                          ,2012,254250
Networks of Centres of Excellence - Letters of Intent,2009,250000
Networks of Centres of Excellence - Letters of Intent,2013,250000
John C. Polanyi Award,2007,250000
Chairs for Women in Science and Engineering - Project,1997,250000
Chairs for Women in Science and Engineering - Project,1999,250000
Chairs for Women in Science and Engineering - Project,2000,250000
Chairs for Women in Science and Engineering - Project,2001,250000
Chairs for Women in Science and Engineering - Project,1998,250000
College and Community Innovation Pilot Program,2007,250000
Canadian Forest Service Research Partnership,2008,249250
Special Research Opportunities - Canada-Israel Program                                              ,2010,245900
Strategic Projects Supplemental Competition,2009,245499
Industrially Oriented Research Grants,2002,243350
Industrial Research Fellowships,2012,240536
Connect Grants Level 1,2016,240406
Chairs for Women in Science and Engineering - Project,2005,240000
Collaborative Project Grants (H),1998,238370
John C. Polanyi Award,2010,238000
Interaction Grants Program                                                                          ,2014,236866
Collaborative Special Project Grants,2002,236050
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2012,235000
Collaborative Research Opportunities Grants,2007,231817
Northern Research Chair Program,2009,230016
Northern Research Chair Program,2006,230000
Northern Research Chair Program,2005,230000
Subatomic Physics Envelope -  Group,1995,227500
Networks of Centres of Excellence - Letters of Intent,2011,225000
John C. Polanyi Award,2012,225000
John C. Polanyi Award,2013,225000
Strategic Workshops Program,2011,222880
Department of National Defence / NSERC Research Partnership,1996,222000
Northern Research Internships,2010,221534
Parental Leave - Research Grants,2013,220917
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2001,220000
Department of National Defence / NSERC Research Partnership,2000,219500
Parental Leave - Research Grants,2011,218002
Department of National Defence / NSERC Research Partnership,2005,217460
Interaction Grants Program                                                                          ,2013,216056
Automotive Partnership Canada Project                                                               ,2009,215565
Strategic Workshops Program,2009,211778
Strategic Workshops Program,2015,210236
Canadian Space Agency Research Partnership,1999,210000
Collaborative Special Project Grants,2001,206400
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2007,205000
"Research Tools and Instruments - Category 1 (<$150,000)",2015,204927
New Media Initiatives,2003,204500
Interaction Grants Program                                                                          ,2011,203763
Parental Leave - Research Grants,2014,203737
Networks of Centres of Excellence - Letters of Intent,2000,200000
Applied Research and Development Grants - Level 2,2011,199675
New Faculty Support Grants,2001,198000
Special Research Opportunity Program - Project,2011,196765
Northern Research Internships,2007,193653
Postgraduate Scholarships - Master's,2014,189816
Research Management Funds - Group,2003,189000
Interaction Grants Program                                                                          ,2010,187474
John C. Polanyi Award,2009,187000
Technology Access Centre  - Letters of Intent,2013,186630
John C. Polanyi Award,2008,186000
Synergy Awards,2004,185000
Parental Leave - Scholarships & Fellowships,2011,184147
Interaction Grants Program                                                                          ,2015,183794
Quantum Works Innovation Platform,2011,183320
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2006,180000
Request for Applications Program (H),1995,180000
Regional Office Discretionary Funds - Atlantic,2008,178381
Canadian Space Agency Research Partnership,1998,175650
Joint Infrastructure Interdependencies Research Program,2005,175508
Synergy Awards,2003,175000
Synergy Awards,2006,175000
Synergy Awards,2007,175000
Presidential Fund,2001,174000
Discovery Frontiers - Digging into Data                                                             ,2013,171750
Strategic Research Networks Program  Letters of Intent                                              ,2015,171000
Chairs for Women in Science and Engineering - Project,2004,170000
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2000,169000
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2008,165000
Other Government Chairs (H),1999,164804
John C. Polanyi Award,2011,164000
JSPS Researcher Exchange Program                                                                    ,2012,164000
NRCan - Earth Sciences Sector/NSERC Research Partnership - Project,2001,161700
Subatomic Physics Envelope - Major Facilities Access,2008,161500
Fuel Cell Technology Program,2001,160788
Request for Applications Program (H),1998,160000
Networks of Centres of Excellence - Letters of Intent,2010,160000
Discovery Frontiers - Digging into Data                                                             ,2014,159000
NRCan - Earth Sciences Sector/NSERC Research Partnership - Project,2002,158686
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2015,158334
Parental Leave - Research Grants,2010,157840
Request for Applications Program (H),1999,157500
Special Research Opportunity Program - Project,2012,156219
Discovery Grants Program - Multidisciplinary Network Groups,1999,155874
Technology Access Centre  - Letters of Intent,2014,153231
New Faculty Support Grants,2002,153000
Special Research Opportunity Program - Pre-research,2006,152212
Strategic Research Networks Program  Letters of Intent                                              ,2016,150000
Request for Applications Program (H),1997,150000
Synergy Awards,2005,150000
Networks of Centres of Excellence - Letters of Intent,2002,150000
Request for Applications Program (H),1996,150000
Synergy Awards,2002,150000
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2010,150000
Applied Research and Development Grants - Level 3,2012,150000
Special Research Opportunities - Canada-Israel Program                                              ,2011,150000
JSPS Researcher Exchange Program                                                                    ,2011,149841
Business-led Networks of Centres of Excellence - Letters of Intent                                  ,2013,148000
Presidential Fund,2002,144500
Canadian Space Agency Research Partnership,1997,144400
Chairs for Women in Science and Engineering - Project,2009,140000
JSPS Researcher Exchange Program                                                                    ,2014,140000
University-Industry Affiliations (H),1995,139000
Canadian Space Agency Research Partnership,2000,137500
Fuel Cell Technology Program,2004,132000
International : Workshops,1995,131259
Northern Research Internships,2008,130391
Parental Leave - Research Grants,2008,128790
Chairs for Women in Science and Engineering - Project,1995,126000
Chairs for Women in Science and Engineering - Project,2003,125000
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2014,125000
Research Management Funds - Group,2006,125000
John C. Polanyi Award,2006,125000
JSPS Researcher Exchange Program                                                                    ,2016,124000
Industrial Scholarship in Partnership with the FQRNT - Master's,2007,123987
Fuel Cell Technology Program,2003,122000
Special Research Opportunity Program - Pre-research,2005,121448
Other Government Chairs (H),2000,121266
John C. Polanyi Award,2016,121000
1967 Science and Engineering Scholarships,1999,120915
Strategic Research Networks Program  Letters of Intent                                              ,2009,120000
Networks of Centres of Excellence - Letters of Intent,2016,119835
Presidential Fund,2008,118000
Special Research Opportunity Program - Northern Research,2009,116400
NRCan - Earth Sciences Sector/NSERC Research Partnership - Project,2000,116000
Northern Research Internships,2009,115434
Special Postgraduate Scholarships for Employed Scientists and Engineers (H),1995,115040
Doctoral Prizes,2013,115000
Presidential Fund,2007,112900
Genomics Projects,2005,111183
Parental Leave - Research Grants,2009,110405
Fuel Cell Postgraduate Stipends,2005,108000
Presidential Fund,2005,107971
New Faculty Support Grants,2004,105000
New Faculty Support Grants,2003,105000
Networks of Centres of Excellence - Letters of Intent,2012,105000
Technology Access Centre  - Letters of Intent,2011,105000
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2009,100000
College Synergy Awards                                                                              ,2016,100000
College Synergy Awards                                                                              ,2015,100000
Regional Office Discretionary Funds - British Columbia,2007,100000
Strategic Research Networks Program  Letters of Intent                                              ,2010,100000
Shared Equipment and Facilities Grants (H),1995,100000
Strategic Research Networks Program  Letters of Intent                                              ,2014,100000
Networks of Centres of Excellence - Letters of Intent,2003,100000
College Synergy Awards                                                                              ,2014,99745
Strategic Research Networks Program  Letters of Intent                                              ,2013,99415
Parental Leave - Research Grants,1999,98969
Regional Office Discretionary Funds - Atlantic,2006,98385
Doctoral Prizes,2012,97500
Tri-Council Workshop/Networking Program,1999,96858
Special Research Opportunity Program - Pre-research,2004,96200
JSPS Researcher Exchange Program                                                                    ,2010,96000
JSPS Researcher Exchange Program                                                                    ,2015,96000
Department of National Defence / NSERC Research Partnership,2001,96000
Regional Office Discretionary Funds - Prairie,2006,94870
Chairs in the Management of Technological Change,2007,93333
Regional Office Discretionary Funds - Atlantic,2009,91167
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2005,90000
Fuel Cell Technology Program,2000,89600
Regional Office Discretionary Funds - British Columbia,2008,89198
Strategic Grants - Equipment (H),1996,88596
Parental Leave - Research Grants,2003,87697
Canadian Space Agency Research Partnership,2001,87500
Research Reorientation Associateships (H),1995,87000
Interaction Grants Program                                                                          ,2009,85362
Postgraduate Scholarships,2006,85241
John C. Polanyi Award,2015,83000
Regional Office Discretionary Funds - Atlantic,2007,80690
Discovery Frontiers - Digging into Data                                                             ,2016,80261
Northern Research Internships,2006,80178
Fuel Cell Technology Program,2005,80000
University Faculty Award,2012,80000
National Research Council / NSERC Research Partnership,2007,80000
Partnership Workshops Grants - Colleges,2014,79572
Presidential Fund,2010,79452
Strategic Workshops Program,2007,78003
Regional Opportunities Fund - Quebec,2008,77786
Research Capacity Development in Small Universities,2011,75000
Doctoral Prizes,2014,74848
Applied Research and Development Grants - Level 1,2010,74484
Parental Leave - Research Grants,2000,74179
Other Government Chairs (H),2001,73599
Strategic Research Networks Program  Letters of Intent                                              ,2011,72229
Research Capacity Development in Small Universities,2009,72000
Fuel Cell Postgraduate Stipends,2004,72000
Regional Office Discretionary Funds - Prairie,2008,71742
Parental Leave - Research Grants,2001,71024
Doctoral Prizes,2011,70000
Discovery Frontiers - Northern Earth System Research,2010,68761
Technology Access Centre  - Letters of Intent,2012,68610
Parental Leave - Research Grants,2004,68078
Parental Leave - Research Grants,2006,67924
Canadian Space Agency Research Partnership,2002,66000
Parental Leave - Research Grants,2002,64345
Parental Leave - Research Grants,2007,63780
Regional Office Discretionary Funds - Prairie,2007,63680
Discovery Grants Program - Project,2000,63000
Discovery Grants Program - Project,1999,63000
Regional Office Discretionary Funds - British Columbia,2009,62004
Belmont Forum Arctic Observing and Research                                                         ,2014,62000
Northern Research Chair Program,2012,58000
Special Research Opportunity Program - Pre-research,2007,56908
Special Research Opportunities - Canada-Israel Program                                              ,2009,54000
Summer Program in Japan,2008,53888
Presidential Fund,2006,53140
Workshops and Seminars (H),1995,52842
NRCan - Earth Sciences Sector/NSERC Research Partnership - Project,2003,52541
Postgraduate Scholarships,2008,52499
Regional Opportunities Fund - Quebec,2009,51615
Unique Initiatives Fund,2012,50699
Chairs for Women in Science and Engineering - Project,2002,50000
Vanier Canada Graduate Scholarships - Doctoral                                                      ,2015,50000
CARNET,1995,50000
Miscellaneous,1995,49488
Partnership Workshops Grants - Colleges,2015,49387
Parental Leave - Research Grants,1998,49092
Regional Office Discretionary Funds - Prairie,2009,49000
NSERC/SSHRC Master's Scholarships in Science Policy (H),1995,48011
JSPS Researcher Exchange Program                                                                    ,2013,48000
University-Industry Affiliations (H),1996,46800
Summer Program in Taiwan,2010,46155
Regional Opportunities Fund - Ontario                                                               ,2009,46079
Women's Faculty Awards - Salary (H),1999,45750
Northern Research Internships,2004,45000
Technology Access Centre  - Letters of Intent,2015,44910
Northern Research Internships,2005,44500
Discovery Grants Program - Project,2002,44100
Discovery Grants Program - Project,2001,44100
Summer Program in Taiwan,2009,43698
1967 Science and Engineering Scholarships,2000,42681
Chairs for Women in Science and Engineering - Project,1996,42000
Regional Office Discretionary Funds - Atlantic,2010,40370
Summer Program in Taiwan,2008,40359
Doctoral Prizes,2010,40000
Doctoral Prizes,2009,40000
Doctoral Prizes,2008,40000
Doctoral Prizes,2006,40000
Doctoral Prizes,2005,40000
Doctoral Prizes,2004,40000
Doctoral Prizes,2003,40000
Doctoral Prizes,2002,40000
Summer Program in Japan,2009,39200
Research Reorientation Associateships (H),1996,38816
Engage Plus Grants for Colleges,2016,37500
NRCan - Earth Sciences Sector/NSERC Research Partnership - Project,2004,37500
Summer Program in Taiwan,2007,35866
NSERC Awards for Science Promotion - Individual                                                     ,2011,35000
NSERC Awards for Science Promotion - Individual                                                     ,2014,35000
NSERC Awards for Science Promotion - Individual                                                     ,2016,35000
NSERC Awards for Science Promotion - Individual                                                     ,2015,35000
NSERC Awards for Science Promotion - Individual                                                     ,2013,35000
NSERC Awards for Science Promotion - Individual                                                     ,2012,35000
NSERC Awards for Science Promotion - Individual                                                     ,2010,35000
NSERC Awards for Science Promotion - Individual                                                     ,2009,35000
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2007,34500
Miscellaneous Grants,2007,34424
Summer Program in Taiwan,2006,34014
Presidential Fund,2000,34000
Students Promoting Awareness of Research Knowledge,2001,34000
Women's Faculty Awards (H),2001,32918
Women's Faculty Awards (H),2000,32918
Belmont Forum Arctic Observing and Research                                                         ,2016,32000
Summer Program in Japan,2012,31761
Regional Office Discretionary Funds - British Columbia,2006,31200
Summer Program in Taiwan,2011,30143
Michael Smith Award for Science Promotion - Organization,2003,30000
Michael Smith Award for Science Promotion - Organization,2001,30000
Michael Smith Award for Science Promotion - Organization,2002,30000
Strategic Projects BIOCAP,2003,29448
Summer Program in Japan,2010,28200
International: North American Research Fellowships,1995,27597
Parental Leave - Research Grants,2005,27498
Miscellaneous,1996,27200
Summer Program in Japan,2006,27000
Summer Program in Japan,2007,27000
Canadian Space Agency Research Partnership,2003,26000
Other Government Chairs (H),2002,25933
Belmont Forum Arctic Observing and Research                                                         ,2015,25200
Summer Program in Taiwan,2004,25155
Strategic Research Networks Program  Letters of Intent                                              ,2012,25000
Engage Plus Grants for colleges,2015,25000
Partnership Workshops Grants - Colleges,2012,25000
College Special Initiatives                                                                         ,2014,24998
Special Research Opportunity Program - Pre-research,2003,24882
Summer Program in Taiwan,2005,24339
Fuel Cell Postgraduate Stipends,2003,24000
Students Promoting Awareness of Research Knowledge,2002,24000
Summer Program in Japan,2004,24000
Women's Faculty Awards (H),2003,23100
Students Promoting Awareness of Research Knowledge,2004,23000
International Opportunity Fund,1998,22500
Special Research Opportunity Program - Pre-research,2009,22500
Foreign Researcher Awards (H),1995,22300
Students Promoting Awareness of Research Knowledge,2003,22000
Canadian Space Agency Research Partnership,2004,22000
Postgraduate Scholarships in Science Librarianship and Documentation (H),1995,21900
Summer Program in Japan,2011,21090
Miscellaneous Grants,2013,21000
Innovation Challenge Award,2009,20500
Innovation Challenge Award,2008,20000
Doctoral Prizes,2016,20000
Doctoral Prizes,2000,20000
Innovation Challenge Award,2007,20000
Doctoral Prizes,2001,20000
Doctoral Prizes,1997,20000
Doctoral Prizes,1999,20000
Doctoral Prizes,1998,20000
Michael Smith Award for Science Promotion - Organization,2004,20000
Special Research Opportunity Program - Northern Research,2004,20000
Special Research Opportunity Program - Northern Research,2005,20000
Senior Industrial Fellowships (H),1995,19932
Strategic Grants - Individual (H),1999,18000
Summer Program in Taiwan,2012,17810
Women's Faculty Awards - Salary (H),2001,17794
Partnership Workshops Grants - Colleges,2013,17561
Regional Opportunities Fund - Quebec,2010,16250
Innovation Challenge Award,2011,15800
Women's Faculty Awards - Salary (H),1998,15250
Summer Program in Japan,2003,15000
Innovation Challenge Award,2012,15000
Industrial Research Fellowships,2013,15000
Summer Program in Japan,2005,15000
Michael Smith Award for Science Promotion - Individual,2004,15000
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2009,14752
Other Government Chairs (H),2003,13530
Presidential Fund,2011,13200
Undergraduate Student Research Awards Program - Colleges                                            ,2013,12656
Canadian Wildlife Service Research Partnership,1997,12500
Fuel Cell Postgraduate Stipends,2001,12000
Fuel Cell Postgraduate Stipends,2002,12000
Subatomic Physics Envelope - Conference (H),1995,12000
Innovation Challenge Award,2006,11000
Innovation Challenge Award,2005,11000
Innovation Challenge Award,2010,10500
Special Research Opportunity Program - Pre-research,2008,10414
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2012,10000
Michael Smith Award for Science Promotion - Organization,2005,10000
Michael Smith Award for Science Promotion - Organization,2006,10000
Michael Smith Award for Science Promotion - Organization,2007,10000
Michael Smith Award for Science Promotion - Organization,2008,10000
Michael Smith Award for Science Promotion - Individual,2002,10000
Michael Smith Award for Science Promotion - Individual,2001,10000
Industrial Research Fellowships,2014,10000
Michael Smith Award for Science Promotion - Individual,2003,10000
Doctoral Prizes,2015,10000
Undergraduate Student Research Awards Program - Colleges                                            ,2014,9000
Regional Office Discretionary Funds - Prairie,2010,9000
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2011,8905
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2015,8674
Postgraduate Scholarships - Master's,2015,8650
Banting Postdoctoral Fellowships,2014,8415
JSPS Researcher Exchange Program                                                                    ,2009,8000
University Research Fellowships (H),1996,7625
1967 Science and Engineering Scholarships,2001,7127
Canada International Fellowships (H),1997,6797
Students Promoting Awareness of Research Knowledge,2005,5000
Michael Smith Award for Science Promotion - Individual,2005,5000
Michael Smith Award for Science Promotion - Individual,2006,5000
Michael Smith Award for Science Promotion - Individual,2007,5000
Michael Smith Award for Science Promotion - Individual,2008,5000
Undergraduate Student Research Awards Program - Colleges                                            ,2015,4500
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2010,4469
Postgraduate Scholarships,2009,3700
NSERC/SSHRC Master's Scholarships in Science Policy (H),1996,3609
Northern Research Internships,2011,2250
Miscellaneous - Scholarships and Fellowships - Project,1999,2000
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2013,1275
Students Promoting Awareness of Research Knowledge,2007,1000
Students Promoting Awareness of Research Knowledge,2006,1000
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2014,1000
Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement                           ,2016,375
