ProgramNameEN,FiscalYear,AwardAmount
Postgraduate Scholarships - Master's,2005,20214527
"Research Tools and Instruments - Category 1 (<$150,000)",1995,20204264
Alexander Graham Bell Canada Graduate Scholarships - Master's,2009,20045274
"Research Tools and Instruments - Category 1 (<$150,000)",2001,19999668
Major Facilities Access Grants,2004,19689117
Collaborative Research and Training Experience                                                      ,2012,19553164
College and Community Innovation Program,2015,19245316
Major Facilities Access Grants,2008,19241681
Centres of Excellence for Commercialization and Research - Group,2009,19117125
Collaborative Research and Development Grants,1998,18752618
College and Community Innovation Program,2016,18619608
College and Community Innovation Program,2010,18533936
Collaborative Research and Development Grants,1995,18412266
Engage Grants Program                                                                               ,2011,18313735
Collaborative Research and Development Grants,1997,18264118
Postdoctoral Fellowships,2005,18257012
Canada Excellence Research Chairs,2012,18200000
Canada Excellence Research Chairs,2013,18200000
College and Community Innovation Program,2013,18106011
Centres of Excellence for Commercialization and Research - Group,2011,18044965
Collaborative Research and Development Grants,1996,17932234
Alexander Graham Bell Canada Graduate Scholarships - Master's,2010,17918220
Canada Excellence Research Chairs,2011,17833333
"Research Tools and Instruments - Category 1 (<$150,000)",2013,17553947
Centres of Excellence for Commercialization and Research - Group,2010,17407000
Postdoctoral Fellowships,2010,17001713
Research Networks,2007,16535947
Postgraduate Scholarships - Master's,2007,16446074
"Research Tools and Instruments - Category 1 (<$150,000)",1997,16426303
Research Networks,2003,16381599
Postdoctoral Fellowships,2009,16376513
Industrial Research Chairs,2005,16341558
Postgraduate Scholarships - Master's,2006,16238563
Discovery Grants Program - Accelerator Supplements,2012,16206811
Research Networks,2004,16093534
University Undergraduate Student Research Awards,2004,15776709
University Undergraduate Student Research Awards,2005,15706882
Postdoctoral Fellowships,2004,15681783
University Undergraduate Student Research Awards,2006,15670119
University Undergraduate Student Research Awards,2003,15667260
Subatomic Physics Envelope - Project,2016,15632400
University Undergraduate Student Research Awards,2007,15610363
Research Networks,2005,15528151
Postdoctoral Fellowships,2008,15443576
Industrial Research Chairs,2004,15399152
University Undergraduate Student Research Awards,2009,15313347
Major Resources Support Program - Infrastructure,2008,15302074
Automotive Partnership Canada Project                                                               ,2014,15240926
Postdoctoral Fellowships,2007,15196561
Collaborative Project Grants (H),1995,15120210
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2005,15090381
Strategic Projects Supplemental Competition,2007,15068947
Discovery Grants Program - Accelerator Supplements,2014,15042292
Discovery Grants Program - Accelerator Supplements,2016,14999999
Discovery Grants Program - Accelerator Supplements,2013,14950000
Postdoctoral Fellowships,2006,14858544
Strategic Projects Supplemental Competition,2008,14819842
University Undergraduate Student Research Awards,2016,14766837
Discovery Grants Program - Accelerator Supplements,2015,14720000
University Undergraduate Student Research Awards,2014,14682508
University Undergraduate Student Research Awards,2010,14653091
Subatomic Physics Envelope - Project,2015,14627999
Collaborative Project Grants (H),1996,14611214
Alexander Graham Bell Canada Graduate Scholarships - Master's,2013,14574947
College and Community Innovation Program,2009,14550750
Collaborative Research and Training Experience                                                      ,2011,14489345
Postdoctoral Fellowships,2003,14379039
Postgraduate Scholarships - Master's,2004,14335786
University Undergraduate Student Research Awards,2015,14273753
Subatomic Physics Envelope - Project,2013,14271948
Postgraduate Scholarships - Master's,2009,14237260
Subatomic Physics Envelope - Project,2012,14116000
Postdoctoral Fellowships,2011,13974450
Alexander Graham Bell Canada Graduate Scholarships - Master's,2015,13970498
Alexander Graham Bell Canada Graduate Scholarships - Master's,2016,13929696
Alexander Graham Bell Canada Graduate Scholarships - Master's,2014,13924166
Industrial Research Chairs,2003,13915019
Subatomic Physics Envelope - Project,2014,13907000
Postdoctoral Fellowships,2016,13847726
Alexander Graham Bell Canada Graduate Scholarships - Master's,2007,13802416
Discovery Grants Program - Accelerator Supplements,2011,13756000
University Undergraduate Student Research Awards,2013,13624634
Subatomic Physics Envelope - Project,2010,13459000
Collaborative Health Research Projects,2016,13458788
Major Facilities Access Grants,2003,13453706
Research Networks,2002,13440184
Subatomic Physics Envelope - Project,2011,13436000
Automotive Partnership Canada Project                                                               ,2013,13428423
University Undergraduate Student Research Awards,2012,13394342
Subatomic Physics Envelope - Project,2007,13389750
Discovery Grants Program - Accelerator Supplements,2010,13385972
Subatomic Physics Envelope - Project,2009,13237500
Subatomic Physics Envelope - Project,2004,13123700
Subatomic Physics Envelope - Project,2002,13091496
Strategic Network Grants Program,2016,13070064
Alexander Graham Bell Canada Graduate Scholarships - Master's,2008,13055947
Subatomic Physics Envelope - Project,2006,13045100
Major Resources Support Program - Infrastructure,2013,12975157
Subatomic Physics Envelope - Project,2003,12862000
Research Networks,2015,12842834
University Undergraduate Student Research Awards,2011,12702948
Alexander Graham Bell Canada Graduate Scholarships - Master's,2011,12625777
University Undergraduate Student Research Awards,2002,12540317
Centres of Excellence for Commercialization and Research - Group,2016,12494569
Industrial Research Chairs,1997,12451554
Automotive Partnership Canada Project                                                               ,2015,12448263
Postdoctoral Fellowships,1999,12395171
Alexander Graham Bell Canada Graduate Scholarships - Master's,2012,12372506
Postdoctoral Fellowships,2015,12354309
Cooperative Activities,1999,12283582
Subatomic Physics Envelope - Project,2005,12250500
Collaborative Health Research Projects,2013,12125878
Government of Canada's Program for International Polar Year,2007,12087323
Research Networks,2006,12061759
Industrial Research Chairs,1995,12025378
Postdoctoral Fellowships,2000,11987516
Government of Canada's Program for International Polar Year,2008,11865141
Postgraduate Scholarships - Doctoral,2004,11829167
Postdoctoral Fellowships,2002,11718100
Subatomic Physics Envelope - Project,2008,11679250
Subatomic Physics Envelope - Project,2000,11593100
Engage Grants Program                                                                               ,2010,11553631
Postdoctoral Fellowships,2001,11370198
Subatomic Physics Envelope - Project,2001,11269084
Research Networks,1998,11192362
Alexander Graham Bell Canada Graduate Scholarships - Master's,2006,11084040
Industrial Research Chairs,1996,11083758
Major Resources Support Program - Infrastructure,2007,11039080
Industrial Research Chairs,1999,11037100
Postdoctoral Fellowships,1998,10917617
Centres of Excellence for Commercialization and Research - Group,2013,10821538
Canada Excellence Research Chairs,2010,10783333
Automotive Partnership Canada Project                                                               ,2012,10656659
Postdoctoral Fellowships,2012,10619739
Research Networks,2001,10617604
Postdoctoral Fellowships,2014,10555089
Automotive Partnership Canada Project                                                               ,2016,10379811
Cooperative Activities,2006,10363485
Applied Research Tools and Instruments Grants,2013,10326978
Cooperative Activities,2005,10196112
University Undergraduate Student Research Awards,2001,10147495
Major Resources Support Program - Infrastructure,2015,10123662
University Undergraduate Student Research Awards,2000,10022814
Collaborative Health Research Projects,2014,10020310
Industrial Research Chairs,1998,9988725
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2004,9970890
University Undergraduate Student Research Awards,1999,9844602
Industrial Research Chairs,2002,9774136
Alexander Graham Bell Canada Graduate Scholarships - Master's,2005,9744865
"Research Tools and Instruments - Category 1 (<$150,000)",2002,9679547
Idea to Innovation,2005,9614466
Industrial Research Chairs,2001,9516465
Major Resources Support Program - Infrastructure,2014,9516209
Cooperative Activities,2001,9474140
Postdoctoral Fellowships,2013,9437414
Subatomic Physics Envelope - Project,1999,9347875
Postdoctoral Fellowships,1995,9295168
"Research Tools and Instruments - Category 3 (>$325,000)",1998,9270983
Cooperative Activities,2007,9231190
Research Networks,1999,9213575
Discovery Grants Program - Accelerator Supplements,2009,9152445
Research Networks,1996,9106850
Research Networks,1997,9079337
Major Facilities Access Grants,2002,9070038
Subatomic Physics Envelope - Project,1998,9035000
Subatomic Physics Envelope - Major Facilities Access,1996,9009000
Centres of Excellence for Commercialization and Research - Group,2015,8925237
Collaborative Research and Training Experience                                                      ,2010,8902164
Cooperative Activities,2000,8877480
Collaborative Special Project Grants,1996,8875525
Postdoctoral Fellowships,1997,8780218
Cooperative Activities,2008,8747206
Applied Research Tools and Instruments Grants,2010,8725871
Subatomic Physics Envelope - Project,1995,8662200
Postdoctoral Fellowships,1996,8654513
Cooperative Activities,2016,8470297
Business-led Networks of Centres of Excellence - Group,2010,8414750
Applied Research and Development Grants - Level 1,2016,8323107
Business-led Networks of Centres of Excellence - Group,2011,8312500
Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years                                   ,2016,8307394
Collaborative Health Research Projects,2012,8265113
Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years                                   ,2015,8236944
Automotive Partnership Canada Project                                                               ,2011,8227607
Vanier Canada Graduate Scholarships - Doctoral                                                      ,2012,8225090
Cooperative Activities,2009,8207387
Experience Awards (previously Industrial Undergraduate Student Research Awards),2016,8191033
Centres of Excellence for Commercialization and Research - Group,2014,8180493
Major Facilities Access Grants,2001,8110885
Industrially Oriented Research Grants,1997,8049477
Vanier Canada Graduate Scholarships - Doctoral                                                      ,2011,8047076
Cooperative Activities,2002,8041208
Infrastructure Grants (H),1995,8029205
Subatomic Physics Envelope - Project,1996,7997200
Subatomic Physics Envelope - Project,1997,7954100
Climate Change and Atmospheric Research,2015,7934992
Special Research Opportunity Program - Project,2007,7907759
Applied Research and Development Grants - Level 1,2015,7887308
Industrially Oriented Research Grants,1998,7825575
Research Networks,1995,7670756
Strategic Grants - Individual (H),1995,7597723
Applied Research and Development Grants - Level 2,2016,7498257
Business-led Networks of Centres of Excellence - Group,2009,7414750
Idea to Innovation,2008,7390110
Centres of Excellence for Commercialization and Research - Group,2012,7390000
Industrial Research Chairs,2000,7323556
Applied Research and Development Grants - Level 1,2014,7278137
Cooperative Activities,2003,7263111
Collaborative Health Research Projects,2015,7245889
Collaborative Health Research Projects,2011,7241518
Special Research Opportunity Program - Project,2006,7229421
Technology Access Centre,2016,7173670
Collaborative Health Research Projects,2010,7154171
Business-led Networks of Centres of Excellence - Group,2008,7023875
Major Facilities Access Grants,2000,6978351
Idea to Innovation,2016,6944672
Business-led Networks of Centres of Excellence - Group,2015,6917000
Cooperative Activities,1998,6910237
Industrial R&D Internships,2010,6880000
Industrial R&D Internships,2011,6880000
